CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
8007-69-0,Prunus amygdalus dulcis (sweet almond) oil,"Oils, almond",Green [Circle],,Chemical added to the list,43004.0
223747-87-3,Argania spinosa kernel oil,,Green [Circle],,Chemical added to the list,43004.0
91080-23-8,Butyrospermum parkii (shea) oil,,Green [Circle],,Chemical added to the list,43004.0
72869-69-3,Prunus amerniaca (apricot) kernel oil,"Oils, apricot",Green [Circle],,Chemical added to the list,43004.0
1333-73-9,"Boric acid, sodium salt","Boric acid, sodium salt",Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,43004.0
1627851-18-6,"D-Glucopyranose, oligomeric, heptyl glycosides","D-Glucopyranose, oligomeric, heptyl glycosides",Green [Circle],,Chemical added to the list,43004.0
61791-42-2,Sodium methyl cocoyl taurate,"Ethanesulfonic acid, 2-(methylamino)-, N-coco acyl derivs., sodium salts",Green [Circle],,Chemical added to the list,43004.0
661-19-8,1-Docosanol,1-Docosanol,Green [Circle],,Chemical added to the list,43004.0
112-92-5,1-Octadecanol,1-Octadecanol,Green [Circle],,Chemical added to the list,43004.0
71243-46-4,"Alcohols, C8-16, ethoxylated","Alcohols, C8-16, ethoxylated",Half Green [Circle],,Chemical added to the list,43004.0
87-69-4,Tartaric acid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-",Half Green [Circle],,Chemical added to the list,43004.0
868-14-4,Potassium tartrate,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, potassium salt (1:1)",Half Green [Circle],,Chemical added to the list,43004.0
60372-77-2,Ethyl lauroyl arginate hydrochloride,,Green [Circle],,Chemical added to the list,43004.0
194043-92-0,Butyrospermum parkii (shea) butter,,Green [Circle],,Chemical added to the list,43004.0
85594-37-2,Grape seed oil,,Green [Circle],,Chemical added to the list,43004.0
68650-44-2,Prunus armeniaca (apricot) kernel oil,"Apricot, ext.",Green [Circle],,Chemical added to the list,43004.0
629-70-9,Cetyl acetate,"1-Hexadecanol, 1-acetate",Green [Circle],,Chemical added to the list,43004.0
153065-40-8,Limnanthes alba (meadowfoam) seed oil,,Green [Circle],,Chemical added to the list,43004.0
90082-81-8,Pistacia vera seed oil,,Green [Circle],,Chemical added to the list,43004.0
90028-66-3,Oenothera biennis (evening primrose) oil,,Green [Circle],,Chemical added to the list,43004.0
394236-97-6,Theobroma grandiflorum seed butter,,Green [Circle],,Chemical added to the list,43004.0
356065-49-1,Astrocaryum murumuru seed butter,,Green [Circle],,Chemical added to the list,43004.0
225234-12-8,Borago officinalis seed oil,,Green [Circle],,Chemical added to the list,43004.0
185630-72-2,Corylus avellana (hazel) seed oil,,Green [Circle],,Chemical added to the list,43004.0
129811-19-4,Macadamia integrifolia seed oil,,Green [Circle],,Chemical added to the list,43004.0
8002-03-7,Peanut oil,Peanut oil,Green [Circle],,Chemical added to the list,43004.0
94333-92-3,Camellia kissi seed oil,,Green [Circle],,Chemical added to the list,43004.0
129893-27-2,Carya illinoensis (pecan) seed oil,,Green [Circle],,Chemical added to the list,43004.0
12280-03-4,Disodium octaborate tetrahydrate,,Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,43004.0
15634-14-7,Calcium carbonate hexahydrate,,Green [Circle],,Chemical added to the list,43004.0
7774-34-7,"Calcium chloride, hexahydrate",,Green [Circle],,Chemical added to the list,43004.0
22691-02-7,Calcium chloride hydrate (unspecified),,Green [Circle],,Chemical added to the list,43004.0
5785-44-4,Calcium citrate tetrahydrate,,Green [Circle],,Chemical added to the list,43004.0
1332-69-0,Calcium hydroxide hydrate,,Green [Circle],,Chemical added to the list,43004.0
1344-96-3,Calcium silicate hydrate,,Green [Circle],,Chemical added to the list,43004.0
16674-78-5,Magnesium acetate tetrahydrate,,Green [Circle],,Chemical added to the list,43004.0
23389-33-5,Magnesium carbonate hydrate,,Green [Circle],,Chemical added to the list,43004.0
39409-82-0,Magnesium hydroxide carbonate,,Green [Circle],,Chemical added to the list,43004.0
254966-93-3,Potassium acetate hydrate,,Green [Circle],,Chemical added to the list,43004.0
6381-79-9,Potassium carbonate sesquihydrate,,Green [Circle],,Chemical added to the list,43004.0
26288-25-5,Potassium hydroxide monohydrate,,Green [Circle],,Chemical added to the list,43004.0
12125-03-0,Potassium stannate trihydrate,,Yellow [Triangle],*Only allowed as a oxidant stabilizer.,Chemical added to the list,43004.0
6131-90-4,Sodium acetate trihydrate,,Green [Circle],,Chemical added to the list,43004.0
41484-91-7,Sodium acetate hydrate,,Green [Circle],,Chemical added to the list,43004.0
10034-88-5,Sodium bisulfate monohydrate,,Green [Circle],,Chemical added to the list,43004.0
127-41-3,alpha-Ionone,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",Yellow [Triangle],,Chemical removed from the list,43004.0
14901-07-6,beta-Ionone,"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",Yellow [Triangle],,Chemical removed from the list,43004.0
1335-46-2,Methylionone,"Ionone, methyl-",Yellow [Triangle],,Chemical removed from the list,43004.0
127-51-5,alpha-Isomethylionone,"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",Yellow [Triangle],,Chemical removed from the list,43004.0
9004-32-4,"Cellulose, carboxymethyl ether, sodium salt","Cellulose, carboxymethyl ether, sodium salt",Green [Circle],,Chemical added to new functional class (Chelating Agents),43004.0
90-80-2,Gluconolactone,"D-Gluconic acid, .delta.-lactone",Green [Circle],,Chemical added to new functional class (Preservatives and Antioxidants),43004.0
94525-01-6,"Aspartic acid, homopolymer, sodium salt","Aspartic acid, homopolymer, sodium salt",Green [Circle],,Chemical added to the list,42915.0
11130-12-4,"Boric acid, sodium salt pentahydrate",,Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,42915.0
8001-79-4,Castor oil,Castor oil,Green [Circle],,Chemical added to the list,42915.0
246159-33-1,Cetearyl glucoside,"D-Glucopyranose, C16-18-alkyl glycosides",Green [Circle],,Chemical added to the list,42915.0
54549-25-6,Decyl glucoside,"D-Glucopyranoside, decyl",Green [Circle],,Chemical added to the list,42915.0
58846-77-8,Decyl glucoside,"beta-D-Glucopyranoside, decyl",Green [Circle],,Chemical added to the list,42915.0
193635-82-4,"Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, diesters with C16-18 and C18-unsatd. fatty acids, Me sulfates","Ethanaminium, 2-hydroxy-N-(2-hydroxyethyl)-N,N-dimethyl-, diesters with C16-18 and C18-unsatd. fatty acids, Me sulfates",Green [Circle],,Chemical added to the list,42915.0
97158-31-1,"Ethanaminium, N,N-dimethyl-2-[(1-oxohexadecyl)oxy]-N-[2-[(1-oxohexadecyl)oxy]ethyl]-, chloride (1:1)","Ethanaminium, N,N-dimethyl-2-[(1-oxohexadecyl)oxy]-N-[2-[(1-oxohexadecyl)oxy]ethyl]-, chloride (1:1)",Green [Circle],,Chemical added to the list,42915.0
91995-81-2,"Fatty acids, C10-20 and C16-18-unsatd., reaction products with triethanolamine, di-Me sulfate-quaternized","Fatty acids, C10-20 and C16-18-unsatd., reaction products with triethanolamine, di-Me sulfate-quaternized",Green [Circle],,Chemical added to the list,42915.0
91032-11-0,"Fatty acids, C12-20, reaction products with triethanolamine, di-mesulfate-quaternized","Fatty acids, C12-20, reaction products with triethanolamine, di-Me sulfate-quaternized",Green [Circle],,Chemical added to the list,42915.0
68201-46-7,"Glycerides, coco mono- and di-, ethoxylated","Glycerides, coco mono- and di-, ethoxylated",Half Green [Circle],,Chemical added to the list,42915.0
72245-11-5,"Glycerides, coco mono- and di-, ethoxylated propoxylated","Glycerides, coco mono- and di-, ethoxylated propoxylated",Half Green [Circle],,Chemical added to the list,42915.0
65381-09-1,Glycerol octanoate decanoate,"Decanoic acid, ester with 1,2,3-propanetriol octanoate",Green [Circle],,Chemical added to the list,42915.0
12045-87-3,Kernite,,Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,42915.0
27836-64-2,Lauryl glucoside,"D-Glucopyranoside, dodecyl",Green [Circle],,Chemical added to the list,42915.0
14168-73-1,Magnesium sulfate monohydrate,,Green [Circle],,Chemical added to the list,42915.0
53637-25-5,"Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2-propanediol (2:1)","Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2-propanediol (2:1)",Half Green [Circle],,Chemical added to the list,42915.0
12027-61-1,Potassium stannate hexahydroxide,"Stannate (Sn(OH)62-), potassium (1:2), (OC-6-11)-",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,42915.0
34345-47-6,Sodium polyaspartate,"L-Aspartic acid, homopolymer, sodium salt",Green [Circle],,Chemical added to the list,42915.0
12179-04-3,Sodium tetraborate pentahydrate,"Boron sodium oxide (B4Na2O7), hydrate (1:5)",Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,42915.0
68154-36-9,Sorbitan cocoate,"Fatty acids, coco, monoesters with sorbitan",Green [Circle],,Chemical added to the list,42915.0
12045-88-4,Tincalconite,,Yellow [Triangle],*Only allowed as a protease stabilizer.,Chemical added to the list,42915.0
25265-77-4,Trimethyl hydroxypentyl isobutyrate,"Propanoic acid, 2-methyl-, monoester with 2,2,4-trimethyl-1,3-pentanediol",Yellow [Triangle],"*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1.",Chemical added to the list,42915.0
144538-83-0,"Aspartic acid, N-(1,2-dicarboxyethyl)-, tetrasodium salt","Aspartic acid, N-(1,2-dicarboxyethyl)-, sodium salt (1:4)",Yellow [Triangle],,Geometric color code changed from Half-Green [Circle] to Yellow [Triangle],42915.0
504-63-2,"1,3-Propanediol","1,3-Propanediol",Green [Circle],,Chemical added to new functional class (Enzymes and Enzyme Stabilizers),42915.0
79-89-0,Methyl delta-ionone,"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical removed from the list,42915.0
8013-90-9,Ionone,Ionone,Yellow [Triangle],*Known sensitizer; repeat dose toxicant. See above.,Chemical removed from the list,42915.0
124-04-9,Adipic acid,Hexanedioic acid,Half Green [Circle],,Chemical added to the list,42825.0
68213-24-1,"Alcohols, C12-16, ethoxylated propoxylated","Alcohols, C12-16, ethoxylated propoxylated",Green [Circle],,Chemical added to the list,42825.0
37475-88-0,Ammonium cumene sulfonate,"Benzenesulfonic acid, (1-methylethyl)-, ammonium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
107-43-7,Betaine,"Methanaminium, 1-carboxy-N,N,N-trimethyl-, inner salt",Half Green [Circle],,Chemical added to the list,42825.0
28088-63-3,Calcium xylene sulfonate,"Benzenesulfonic acid, dimethyl-, calcium salt (2:1)",Green [Circle],,Chemical added to the list,42825.0
61791-12-6,"Castor oil, ethoxylated","Castor oil, ethoxylated",Green [Circle],,Chemical added to the list,42825.0
109-43-3,Dibutyl sebacate,"Decanedioic acid, 1,10-dibutyl ester",Green [Circle],,Chemical added to the list,42825.0
25637-84-7,Glyceryl dioleate,"9-Octadecenoic acid (9Z)-, diester with 1,2,3-propanetriol",Green [Circle],,Chemical added to the list,42825.0
142-18-7,Glyceryl monolaurate,"Dodecanoic acid, 2,3-dihydroxypropyl ester",Half Green [Circle],,Chemical added to the list,42825.0
39421-75-5,"Guar gum, 2-hydroxypropyl ether","Guar gum, 2-hydroxypropyl ether",Green [Circle],,Chemical added to the list,42825.0
92704-41-1,"Kaolin, calcined","Kaolin, calcined",Half Green [Circle],,Chemical added to the list,42825.0
70321-63-0,Lanolin oil,"Lanolin, oil",Half Green [Circle],,Chemical added to the list,42825.0
9015-75-2,Pectate lyase,"Lyase, pectate",Yellow [Triangle],,Chemical added to the list,42825.0
546-93-0,Magnesium carbonate,"Carbonic acid, magnesium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
112-62-9,Methyl oleate,"9-Octadecenoic acid (9Z)-, methyl ester",Yellow [Triangle],,Chemical added to the list,42825.0
25618-55-7,Polyglycerol,"1,2,3-Propanetriol, homopolymer",Half Green [Circle],,Chemical added to the list,42825.0
16106-44-8,Potassium toluenesulfonate,"Benzenesulfonic acid, 4-methyl-, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
30346-73-7,Potassium xylene sulfonate,"Benzenesulfonic acid, dimethyl-, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
126-92-1,Sodium ethasulfate,"Sulfuric acid, mono(2-ethylhexyl) ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
12068-03-0,Sodium toluenesulfonate,"Benzenesulfonic acid, methyl-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42825.0
26266-58-0,Sorbitan trioleate,"Sorbitan, tri-(9Z)-9-octadecenoate",Green [Circle],,Chemical added to the list,42825.0
1117804-71-3,"Starch, 2-carboxyethyl 2-methyl-3-oxo-3-[[3-(trimethylammonio)propyl]amino]propyl ether, chloride","Starch, 2-carboxyethyl 2-methyl-3-oxo-3-[[3-(trimethylammonio)propyl]amino]propyl ether, chloride",Half Green [Circle],,Chemical added to the list,42825.0
56090-54-1,Triglycerol,Triglycerol,Half Green [Circle],,Chemical added to the list,42825.0
1406-18-4,Vitamin E,Vitamin E,Green [Circle],,Chemical added to the list,42825.0
61789-91-1,"Waxes and Waxy substances, jojoba","Waxes and Waxy substances, jojoba",Half Green [Circle],,Chemical added to the list,42825.0
77-93-0,Triethyl citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, 1,2,3-triethyl ester",Yellow [Triangle],,Chemical added to new functional class (Solvents),42825.0
9011-05-6,Polynoxylin,"Urea, polymer with formaldehyde",Grey [Square],*Flagged on 3/31/2017 for removal from SCIL in 12 months.,Geometric color code changed from Yellow [Triangle] to Grey [Square]. Added caveat regarding removal from SCIL.,42825.0
160875-66-1,"Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-",Green [Circle],,Geometric color code changed from Half Green [Circle] to Green [Circle]. ,42825.0
66402-68-4,"Ceramic materials and wares, chemicals","Ceramic materials and wares, chemicals",Half Green [Circle],,"Geometric color code changed from Green [Circle] to Half Green [Circle]. Common name updated to the TSCA name ""Ceramic materials and wares, chemicals.""",42825.0
4435-53-4,3-Methoxybutyl acetate,"1-Butanol, 3-methoxy-, 1-acetate",Green [Circle],,Chemical added to the list,42639.0
134134-86-4,Avena sativa kernel flour,"Oat, flour",Green [Circle],,Chemical added to the list,42639.0
137-08-6,Calcium pantothenate,".beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-, calcium salt (2:1)",Half Green [Circle],,Chemical added to the list,42639.0
16485-10-2,DL-Panthenol,"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-",Half Green [Circle],,Chemical added to the list,42639.0
81-13-0,D-Panthenol,"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-, (2R)-",Half Green [Circle],,Chemical added to the list,42639.0
23351-51-1,Glucoheptanoic acid,"D-gluco-Heptonic acid, (2.xi.)-",Green [Circle],,Chemical added to the list,42639.0
91744-09-1,"Glycerides, C16-18 and C18-unsatd. mono-","Glycerides, C16-18 and C18-unsatd. mono-",Green [Circle],,Chemical added to the list,42639.0
85251-77-0,"Glycerides, C16-18 mono- and di-","Glycerides, C16-18 mono- and di-",Green [Circle],,Chemical added to the list,42639.0
67701-28-4,"Glycerides, C8-18 and C18-unsatd.","Glycerides, C8-18 and C18-unsatd.",Green [Circle],,Chemical added to the list,42639.0
91052-13-0,"Glycerides, C8-18 and C18-unsatd. mono- and di-, acetates","Glycerides, C8-18 and C18-unsatd. mono- and di-, acetates",Green [Circle],,Chemical added to the list,42639.0
736150-63-3,"Glycerides, castor-oil mono-, hydrogenated, acetates","Glycerides, castor-oil mono-, hydrogenated, acetates",Green [Circle],,Chemical added to the list,42639.0
111-03-5,Glyceryl monooleate,"9-Octadecenoic acid (9Z)-, 2,3-dihydroxypropyl ester",Green [Circle],,Chemical added to the list,42639.0
25496-72-4,Glyceryl monooleate [NF],"9-Octadecenoic acid (9Z)-, monoester with 1,2,3-propanetriol",Green [Circle],,Chemical added to the list,42639.0
31566-31-1,Glyceryl monostearate,"Octadecanoic acid, monoester with 1,2,3-propanetriol",Green [Circle],,Chemical added to the list,42639.0
557-04-0,Magnesium stearate,"Octadecanoic acid, magnesium salt (2:1)",Half Green [Circle],,Chemical added to the list,42639.0
79-83-4,Panthothenic acid,".beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-",Half Green [Circle],,Chemical added to the list,42639.0
1338929-66-0,PEG-120 methyl glucose trioleate,"Poly(oxy-1,2-ethanediyl), α-hydro-ω-hydroxy-, ether with methyl D-glucopyranoside 2,6-di-(9Z)-9-octadecenoate (2:1), mono-(9Z)-9-octadecenoate",Half Green [Circle],,Chemical added to the list,42639.0
299-27-4,Potassium gluconate,"D-Gluconic acid, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42639.0
996-31-6,Potassium lactate,"Propanoic acid, 2-hydroxy-, potassium salt (1:1)",Green [Circle],,Chemical added to the list,42639.0
107-35-7,Taurine,"Ethanesulfonic acid, 2-amino-",Half Green [Circle],,Chemical added to the list,42639.0
7772-98-7,Sodium thiosulfate,"Thiosulfuric acid (H2S2O3), sodium salt (1:2)",Half Green [Circle],,Geometric color code changed from Green [Circle] to Half Green [Circle]. ,42639.0
10102-17-7,"Sodium thiosulfate, pentahydrate","Thiosulfuric acid (H2S2O3), sodium salt, hydrate (1:2:5)",Half Green [Circle],,Geometric color code changed from Green [Circle] to Half Green [Circle]. ,42639.0
160875-66-1,"Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-","Poly(oxy-1,2-ethanediyl), alpha-(2-propylheptyl)-omega-hydroxy-",Half Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half Green [Circle]. ,42639.0
166736-08-9,"Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-propylheptyl) ether",Half Green [Circle],,Geometric color code changed from Yellow [Triangle] to Half Green [Circle]. ,42639.0
64366-70-7,"Oxirane, methyl-, polymer with oxirane, mono(2-ethylhexyl) ether","Oxirane, 2-methyl-, polymer with oxirane, mono(2-ethylhexyl) ether",Green [Circle],,Geometric color code changed from Yellow [Triangle] to Green [Circle]. ,42639.0
125590-73-0,2-Ethylhexyl-alpha-D-glucoside,"alpha-D-Glucopyranoside, 2-ethylhexyl",Green [Circle],,Chemical added to the list,42573.0
137-66-6,Ascorbyl palmitate,"L-Ascorbic acid, 6-hexadecanoate",Half Green [Circle],,Chemical added to the list,42573.0
1456772-91-0,"Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate","Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1), sodium salt",Green [Circle],,Chemical added to the list,42573.0
31387-97-0,Butyl D-glucoside,"D-Glucopyranoside, butyl",Green [Circle],,Chemical added to the list,42573.0
12225-21-7,C.I. Pigment Yellow 100,C.I. Pigment Yellow 100,Yellow [Triangle],,Chemical added to the list,42573.0
157707-88-5,C12-14 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C12-14-alkyl glycosides",Green [Circle],,Chemical added to the list,42573.0
510759-65-6,C12-16 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C12-16-alkyl glycosides",Green [Circle],,Chemical added to the list,42573.0
113976-90-2,C6-12 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C6-12-alkyl glycosides",Green [Circle],,Chemical added to the list,42573.0
161074-97-1,C8-10 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C8-10-alkyl glycosides",Green [Circle],,Chemical added to the list,42573.0
141464-42-8,C8-16 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C8-16-alkyl glycosides",Green [Circle],,Chemical added to the list,42573.0
1117-86-8,Caprylyl glycol,"1,2-Octanediol",Green [Circle],,Chemical added to the list,42573.0
8015-86-9,Carnauba wax,Carnauba wax,Green [Circle],,Chemical added to the list,42573.0
161074-85-7,Decyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, decyl glycosides",Green [Circle],,Chemical added to the list,42573.0
1362053-75-5,Sodium glucarate,"D-Glucose, reaction products with nitric acid and sodium nitrite (1:1), sodium salts",Green [Circle],,Chemical added to the list,42573.0
59122-55-3,Dodecyl-beta-D-glucoside,"beta-D-Glucopyranoside, dodecyl",Green [Circle],,Chemical added to the list,42573.0
763-69-9,Ethyl-3-ethoxy propionate,"Propanoic acid, 3-ethoxy-, ethyl ester",Half Green [Circle],,Chemical added to the list,42573.0
67701-03-5,"Fatty acids, C16-18","Fatty acids, C16-18",Green [Circle],,Chemical added to the list,42573.0
68921-42-6,FD&C Blue No. 1 aluminum lake,"Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl[(3-sulfophenyl)methyl]amino]phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo-, inner salt, aluminum salt (1:?)",Yellow [Triangle],,Chemical added to the list,42573.0
91052-16-3,Hydrogenated palm glycerides citrate,"Glycerides, C16-18 and C18 unsatd. Mono- and di-, citrates",Half Green [Circle],,Chemical added to the list,42573.0
63-68-3,L-Methionine,L-Methionine,Half Green [Circle],,Chemical added to the list,42573.0
29836-26-8,Octyl-beta-D-glucoside,"beta-D-Glucopyranoside, octyl",Green [Circle],,Chemical added to the list,42573.0
69011-36-5,"Poly(oxy-1,2-ethanediyl), alpha-tridecyl-omega-hydroxy-, branched","Poly(oxy-1,2-ethanediyl), alpha-tridecyl-omega-hydroxy-, branched",Green [Circle],,Chemical added to the list,42573.0
72-17-3,Sodium lactate,"Propanoic acid, 2-hydroxy-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42573.0
7722-88-5,Sodium pyrophosphate,"Diphosphoric acid, sodium salt (1:4)",Yellow [Triangle],*Only allowed as an oxidant stabilizer.,Chemical added to the list,42573.0
24800-44-0,Tripropylene glycol,"Propanol, [(1-methyl-1,2-ethanediyl)bis(oxy)]bis-",Green [Circle],,Chemical added to the list,42573.0
98283-67-1,Undecyl-D-glucoside,"D-Glucopyranoside, undecyl",Green [Circle],,Chemical added to the list,42573.0
510758-10-8,Butyl poly-D-glucosides,"D-Glucopyranose, oligomeric, Bu glycosides",Green [Circle],,"List name changed from D-Glucopyranose, oligomeric, Bu glycosides to Butyl poly-D-glucosides",42573.0
54549-24-5,Hexyl D-glucoside,"D-Glucopyranoside, hexyl",Green [Circle],,"List name changed from D-Glucopyranoside, hexyl to Hexyl D-glucoside",42573.0
161074-93-7,2-Ethylhexyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",Green [Circle],,"List name changed from D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides to 2-Ethylhexyl-poly-D-glucosides",42573.0
68515-73-1,"Decyl, octyl-poly-D-glucosides","D-Glucopyranose, oligomeric, decyl octyl glycosides",Green [Circle],,"List name changed from D-Glucopyranose, oligomeric, decyl octyl glycosides to Decyl, octyl-poly-D-glucosides",42573.0
132778-08-6,C9-11 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C9-11-alkyl glycosides",Green [Circle],,"List name changed from D-Glucopyranose, oligomeric, C9-11-alkyl glycosides to C9-11 Alkyl-poly-D-glucosides",42573.0
110615-47-9,C10-16 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides",Green [Circle],,"List name changed from D-Glucopyranose, oligomeric, C10-16-alkyl glycosides to C10-16 Alkyl-poly-D-glucosides",42573.0
92011-00-2,Butyl-3-hydroxy-2-methylbuyrate,"Butanoic acid, 3-hydroxy-2-methyl-, butyl ester",Green [Circle],,Chemical added to the list,42520.0
85586-07-8,"Sulfuric acid, mono-C12-14 alkyl esters, sodium salts","Sulfuric acid, mono-C12-14-alkyl esters, sodium salts",Green [Circle],,Chemical added to the list,42520.0
14035-95-1,Dimethyl ethylsuccinate,"Butanedioic acid, 2-ethyl-, 1,4-dimethyl ester",Green [Circle],,Chemical added to the list,42520.0
68424-94-2,"Betaines, coco alkyldimethyl","Betaines, coco alkyldimethyl",Green [Circle],,Chemical added to the list,42520.0
867-56-1,Sodium lactate,"Propanoic acid, 2-hydroxy-, sodium salt (1:1), (2S)-",Green [Circle],,Chemical added to the list,42520.0
9080-56-2,Bacillolysin Bacillus metalloprotease,Bacillolysin,Yellow [Triangle],,Chemical added to the list,42520.0
52720-34-0,"2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, ammonium salt","2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, ammonium salt",Green [Circle],,Chemical added to the list,42520.0
68187-30-4,Disodium cocoyl glutamate,"L-Glutamic acid, N-coco acyl derivs., disodium salts",Green [Circle],,Chemical added to the list,42520.0
12173-47-6,Hectorite,Hectorite (Mg2.67Li0.33)Si4Na0.33[F0.5-1(OH)0-0.5]2O10),Half Green [Circle],,Chemical added to the list,42520.0
32208-04-1,Distearoylethyl hydroxyethylmonium methosulfate,"Ethanaminium, N-(2-hydroxyethyl)-N-methyl-2-[(1-oxooctadecyl)oxy]-N-[2-[(1-oxooctadecyl)oxy]ethyl]-, methyl sulfate (1:1)",Green [Circle],,Chemical added to the list,42520.0
9063-38-1,Sodium starch glycolate,"Starch, carboxymethyl ether, sodium salt",Green [Circle],,Chemical added to the list,42520.0
25086-62-8,Sodium polymethacrylate,"2-Propenoic acid, 2-methyl-, sodium salt (1:1), homopolymer",Green [Circle],,Chemical added to the list,42520.0
111-60-4,Ethylene glycol monostearate,"Octadecanoic acid, 2-hydroxyethyl ester",Green [Circle],,Chemical added to the list,42520.0
4219-49-2,Ethylene glycol monopalmitate,"Hexadecanoic acid, 2-hydroxyethyl ester",Green [Circle],,Chemical added to the list,42520.0
624-03-3,Ethylene glycol dipalmitate,"Hexadecanoic acid, 1,1'-(1,2-ethanediyl) ester",Green [Circle],,Chemical added to the list,42520.0
13557-75-0,Sodium lauroyl lactylate,"Dodecanoic acid, 2-(1-carboxyethoxy)-1-methyl-2-oxoethyl ester, sodium salt (1:1)",Green [Circle],,Chemical added to the list,42520.0
25213-39-2,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene","2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene",Green [Circle],,Chemical added to the list,42520.0
100-79-8,"2,2-dimethyl-1,3-Dioxolane-4-methanol","1,3-Dioxolane-4-methanol, 2,2-dimethyl-",Green [Circle],,Chemical added to the list,42520.0
68425-37-6,Coconut alcohol,"Alcohols, coco",Green [Circle],,Chemical added to the list,42520.0
299-28-5,Calcium gluconate,"D-Gluconic acid, calcium salt (2:1)",Green [Circle],,Chemical added to the list,42520.0
6309-51-9,Isoamyl laurate,"Dodecanoic acid, 3-methylbutyl ester",Green [Circle],,Chemical added to the list,42520.0
142-91-6,Isopropyl palmitate,"Hexadecanoic acid, 1-methylethyl ester",Green [Circle],,Chemical added to the list,42520.0
111-01-3,Squalane,"Tetracosane, 2,6,10,15,19,23-hexamethyl-",Green [Circle],,Chemical added to the list,42520.0
